tradeoff	uninfected	susceptible_drugA	susceptible_drugB	resistantA_drugA	resistantA_drugB	resistantB_drugA	resistantB_drugB	multiResist_drugA	multiResist_drugB
0.6	0.3703731524878876	2.7641932969309866E-6	2.7641932969309866E-6	0.20986417901407997	0.10493306630898519	0.10493306630898519	0.20986417901407997	1.3414234937049958E-5	1.3414234937049958E-5
0.59	0.3703731601272573	2.764193465558004E-6	2.764193465558004E-6	0.2098630518965861	0.10493250412377118	0.10493250412377118	0.2098630518965861	1.5099693732779036E-5	1.5099693732779036E-5
0.5800000000000001	0.37037317105482676	2.764193700483526E-6	2.764193700483526E-6	0.20986161252937355	0.10493178632251893	0.10493178632251893	0.20986161252937355	1.7251424267782396E-5	1.7251424267782396E-5
0.5700000000000001	0.37037318688931764	2.764194035009938E-6	2.764194035009938E-6	0.20985970852650723	0.1049308370725085	0.1049308370725085	0.20985970852650723	2.009676158442027E-5	2.009676158442027E-5
0.56	0.37037321069553264	2.764194528496082E-6	2.764194528496082E-6	0.20985706953800007	0.10492952172520707	0.10492952172520707	0.20985706953800007	2.4039188953467115E-5	2.4039188953467115E-5
0.55	0.3703732483511035	2.7641952956340043E-6	2.7641952956340043E-6	0.20985316567301115	0.10492757626728516	0.10492757626728516	0.20985316567301115	2.986967843114881E-5	2.986967843114881E-5
0.54	0.37037331290555997	2.7641965930774874E-6	2.7641965930774874E-6	0.2098467976076912	0.10492440331798694	0.10492440331798694	0.2098467976076912	3.9378420921792635E-5	3.9378420921792635E-5
0.53	0.37037344185258764	2.7641991552469607E-6	2.7641991552469607E-6	0.209834551910797	0.10491830255968083	0.10491830255968083	0.209834551910797	5.766038407445984E-5	5.766038407445984E-5
0.52	0.37037380062976416	2.764206221601685E-6	2.764206221601685E-6	0.209801314515448	0.10490174508813556	0.10490174508813556	0.209801314515448	1.072758760786223E-4	1.072758760786223E-4
0.51	0.3703785205865221	2.764298743713896E-6	2.764298743713896E-6	0.209369451265515	0.10468661610528049	0.10468661610528049	0.209369451265515	7.519080413319483E-4	7.519080413319483E-4
0.5	0.37037185726103494	2.7641679985281415E-6	2.7641679985281415E-6	2.366966275790629E-4	1.1872651315442823E-4	1.1872651315442823E-4	2.366966275790629E-4	0.31445588404414326	0.31445588404414326
0.49	0.3679202381154062	2.7178881557398047E-6	2.7178881557398047E-6	1.1153913061436067E-4	5.59280591344963E-5	5.59280591344963E-5	1.1153913061436067E-4	0.31586969588678776	0.31586969588678776
0.48	0.3655000762268146	2.6740314761075046E-6	2.6740314761075046E-6	7.328972918657411E-5	3.673711049416805E-5	3.673711049416805E-5	7.328972918657411E-5	0.3171372609895239	0.3171372609895239
0.47	0.3631113700847297	2.6324225945372455E-6	2.6324225945372455E-6	5.475511037115907E-5	2.7438386891342152E-5	2.7438386891342152E-5	5.475511037115907E-5	0.3183594890220911	0.3183594890220911
0.45999999999999996	0.3607536171930149	2.5928947485376226E-6	2.5928947485376226E-6	4.381702439050564E-5	2.19513427774577E-5	2.19513427774577E-5	4.381702439050564E-5	0.31955483013914915	0.31955483013914915
0.44999999999999996	0.3584262534693855	2.555296151290398E-6	2.555296151290398E-6	3.6600611198117015E-5	1.833169065428465E-5	1.833169065428465E-5	3.6600611198117015E-5	0.32072938567506576	0.32072938567506576
0.43999999999999995	0.35612870908288746	2.5194891370271826E-6	2.5194891370271826E-6	3.148368720786929E-5	1.5765463345449003E-5	1.5765463345449003E-5	3.148368720786929E-5	0.32188587682428266	0.32188587682428266
0.42999999999999994	0.35386042139656315	2.4853487303767616E-6	2.4853487303767616E-6	2.766740890062562E-5	1.3851820371546674E-5	1.3851820371546674E-5	2.766740890062562E-5	0.3230257847040824	0.3230257847040824
0.42000000000000004	0.35162083890409224	2.452761273924517E-6	2.452761273924517E-6	2.47126900766041E-5	1.237043724154621E-5	1.237043724154621E-5	2.47126900766041E-5	0.3241500446880872	0.3241500446880872
0.41000000000000003	0.34940942219790333	2.421623194138297E-6	2.421623194138297E-6	2.2358144689397553E-5	1.1190154990722852E-5	1.1190154990722852E-5	2.2358144689397553E-5	0.32525931897737664	0.32525931897737664
0.4	0.34722564470262784	2.3918399190054835E-6	2.3918399190054835E-6	2.0438428900868675E-5	1.022800674891021E-5	1.022800674891021E-5	2.0438428900868675E-5	0.32635411938182196	0.32635411938182196
0.39	0.3450689923641065	2.363324921884839E-6	2.363324921884839E-6	1.88438249324421E-5	9.42893808793309E-6	9.42893808793309E-6	1.88438249324421E-5	0.3274348676993501	0.3274348676993501
0.38	0.3429389635415218	2.335998887659395E-6	2.335998887659395E-6	1.749865256781947E-5	8.754974454416763E-6	8.754974454416763E-6	1.749865256781947E-5	0.32850192860157945	0.32850192860157945
0.37	0.3408350686036658	2.30978897809982E-6	2.30978897809982E-6	1.6349012887097055E-5	8.17907122296976E-6	8.17907122296976E-6	1.6349012887097055E-5	0.3295556278694132	0.3295556278694132
0.36	0.33875682988672107	2.284628183294275E-6	2.284628183294275E-6	1.5355473891199134E-5	7.681443432017037E-6	7.681443432017037E-6	1.5355473891199134E-5	0.33059626352072036	0.33059626352072036
