tradeoff	uninfected	susceptible_drugA	susceptible_drugB	resistantA_drugA	resistantA_drugB	resistantB_drugA	resistantB_drugB	multiResist_drugA	multiResist_drugB
0.85	0.36914278332605843	2.863902969128234E-6	2.863902969128234E-6	0.20958259177091812	0.10584007708778231	0.10584007708778231	0.20958259177091812	3.075605679367694E-6	3.075605679367694E-6
0.84	0.3691427833260551	2.8639029691330607E-6	2.8639029691330607E-6	0.20958251424435712	0.10584003792934135	0.10584003792934135	0.20958251424435712	3.1922722638903055E-6	3.1922722638903055E-6
0.83	0.36914278332601896	2.863902969410498E-6	2.863902969410498E-6	0.2095824320811425	0.10583999643999797	0.10583999643999797	0.2095824320811425	3.315904441684588E-6	3.315904441684588E-6
0.8200000000000001	0.36914278332605494	2.863902969417344E-6	2.863902969417344E-6	0.20958234486931038	0.10583995241823603	0.10583995241823603	0.20958234486931038	3.4471455338998564E-6	3.4471455338998564E-6
0.81	0.36914278332605927	2.8639029694428855E-6	2.8639029694428855E-6	0.20958225216324605	0.10583990557413184	0.10583990557413184	0.20958225216324605	3.5867207604936777E-6	3.5867207604936777E-6
0.8	0.3691427833262199	2.8639029695224617E-6	2.8639029695224617E-6	0.2095821533325909	0.105839855677116	0.105839855677116	0.2095821533325909	3.735450779018E-6	3.735450779018E-6
0.79	0.3691427833262881	2.863902970247862E-6	2.863902970247862E-6	0.2095820477763707	0.10583980237472877	0.10583980237472877	0.2095820477763707	3.894268027513839E-6	3.894268027513839E-6
0.78	0.36914278333570616	2.863902970635597E-6	2.863902970635597E-6	0.20958193484741805	0.10583974535913226	0.10583974535913226	0.20958193484741805	4.06423659208109E-6	4.06423659208109E-6
0.77	0.36914278333661754	2.863902970775445E-6	2.863902970775445E-6	0.20958181368326706	0.10583968415520134	0.10583968415520134	0.20958181368326706	4.246576533884436E-6	4.246576533884436E-6
0.76	0.3691427833400126	2.8639029712971714E-6	2.8639029712971714E-6	0.20958168338784539	0.10583961836227294	0.10583961836227294	0.20958168338784539	4.44269388568122E-6	4.44269388568122E-6
0.75	0.36914278334373024	2.86390297254763E-6	2.86390297254763E-6	0.20958154284421504	0.10583954736793717	0.10583954736793717	0.20958154284421504	4.654217975678232E-6	4.654217975678232E-6
0.74	0.3691427833575735	2.8639029741883376E-6	2.8639029741883376E-6	0.2095813907475104	0.10583947058884141	0.10583947058884141	0.2095813907475104	4.883048243831913E-6	4.883048243831913E-6
0.73	0.36914278340988893	2.863902975997403E-6	2.863902975997403E-6	0.2095812257293579	0.10583938726508332	0.10583938726508332	0.2095812257293579	5.131413541196523E-6	5.131413541196523E-6
0.72	0.36914278351749674	2.8639029783973815E-6	2.8639029783973815E-6	0.20958104590610666	0.10583929647671506	0.10583929647671506	0.20958104590610666	5.401947995864443E-6	5.401947995864443E-6
0.71	0.3691427835875415	2.8639029826630458E-6	2.8639029826630458E-6	0.2095808492821212	0.10583919719046221	0.10583919719046221	0.2095808492821212	5.697789120465055E-6	5.697789120465055E-6
0.7	0.36914278378843407	2.863902987311465E-6	2.863902987311465E-6	0.2095806333300861	0.10583908816395779	0.10583908816395779	0.2095806333300861	6.022706160614514E-6	6.022706160614514E-6
0.69	0.3691427839825831	2.8639029950994855E-6	2.8639029950994855E-6	0.20958039501351067	0.10583896783951317	0.10583896783951317	0.20958039501351067	6.381270147902746E-6	6.381270147902746E-6
0.6799999999999999	0.3691427842722538	2.8639030046274813E-6	2.8639030046274813E-6	0.20958013052598504	0.10583883435334265	0.10583883435334265	0.20958013052598504	6.779082249316895E-6	6.779082249316895E-6
0.6699999999999999	0.3691427847327276	2.863903018319309E-6	2.863903018319309E-6	0.20957983530270538	0.10583868535087905	0.10583868535087905	0.20957983530270538	7.223085038464531E-6	7.223085038464531E-6
0.6599999999999999	0.3691427853629189	2.8639030365054176E-6	2.8639030365054176E-6	0.2095795035194193	0.10583851790330516	0.10583851790330516	0.2095795035194193	7.721993781988888E-6	7.721993781988888E-6
0.6499999999999999	0.36914278615217605	2.863903061369241E-6	2.863903061369241E-6	0.2095791278084651	0.10583832830914087	0.10583832830914087	0.2095791278084651	8.286905033663672E-6	8.286905033663672E-6
0.64	0.3691427873672995	2.8639030950903057E-6	2.8639030950903057E-6	0.20957869849937286	0.10583811173100026	0.10583811173100026	0.20957869849937286	8.932173216354717E-6	8.932173216354717E-6
0.63	0.36914278909106096	2.8639031400445113E-6	2.8639031400445113E-6	0.20957820303585684	0.10583786183269323	0.10583786183269323	0.20957820303585684	9.67670290983229E-6	9.67670290983229E-6
0.62	0.36914279141933043	2.863903201285779E-6	2.863903201285779E-6	0.20957762444677888	0.10583757005275786	0.10583757005275786	0.20957762444677888	1.0545905559928086E-5	1.0545905559928086E-5
0.61	0.3691427945891912	2.86390328351591E-6	2.86390328351591E-6	0.20957693934947355	0.10583722467887459	0.10583722467887459	0.20957693934947355	1.1574755248597795E-5	1.1574755248597795E-5
0.6	0.36914279915769116	2.863903395323121E-6	2.863903395323121E-6	0.20957611475494412	0.1058368090428073	0.1058368090428073	0.20957611475494412	1.2812737034637977E-5	1.2812737034637977E-5
